Laneige,Laneige White Dew Original Ampoule Essence,normal
Laneige,Laneige Fresh Calming Balancing Serum,sensitive
Laneige,Laneige Clear-C Advanced Effector,oily
Laneige,Laneige Clear-C Advanced Effector,acne-prone
Laneige,Laneige Time Freeze Intensive Essence,aging
Laneige,Laneige Perfect Renew Youth Regenerator,aging
Laneige,Laneige Glowy Makeup Serum,normal
Forest Essentials,Forest Essentials Advanced Soundarya Age Defying Facial Serum with 24K Gold,aging
Forest Essentials,Forest Essentials Tejal Balancing Water,combination
Forest Essentials,Forest Essentials Tejal Balancing Water,oily
Forest Essentials,Forest Essentials Rasa Activating Serum,dry
Forest Essentials,Forest Essentials Advanced Sanjeevani Beauty Elixir Facial Serum,aging
Minimalist,Minimalist Alpha Arbutin 2% + Hyaluronic Acid 1% Serum,normal
Minimalist,Minimalist Hyaluronic Acid 2% + Vitamin B5 Serum,dry
Minimalist,Minimalist Niacinamide 10% + Zinc 1% Serum,oily
Minimalist,Minimalist Niacinamide 10% + Zinc 1% Serum,acne-prone
Minimalist,Minimalist Alpha Arbutin 2% + Hyaluronic Acid 1% Serum,dry
Minimalist,Minimalist Polyglutamic Acid 3% Serum,dry
Minimalist,Minimalist 10% Niacinamide Face Serum,normal
Minimalist,Minimalist 10% Niacinamide Face Serum,oily
Minimalist,Minimalist 10% Niacinamide Face Serum,acne-prone
Minimalist,Minimalist Mandelic Acid 10% + HA Serum,normal
Minimalist,Minimalist Mandelic Acid 10% + HA Serum,sensitive
Ordinary,The Ordinary Hyaluronic Acid 2% + B5,normal
Ordinary,The Ordinary Hyaluronic Acid 2% + B5,dry
Ordinary,The Ordinary Niacinamide 10% + Zinc 1%,normal
Ordinary,The Ordinary Niacinamide 10% + Zinc 1%,acne-prone
Ordinary,The Ordinary Niacinamide 10% + Zinc 1%,oily
Ordinary,The Ordinary Buffet,aging
Ordinary,The Ordinary Alpha Arbutin 2% + HA,normal
Ordinary,The Ordinary Lactic Acid 5% + HA,normal
Ordinary,The Ordinary Matrixyl 10% + HA,aging
Ordinary,The Ordinary Granactive Retinoid 2% Emulsion,aging
Ordinary,The Ordinary Azelaic Acid Suspension 10%,sensitive
Ordinary,The Ordinary Azelaic Acid Suspension 10%,acne-prone
Aqualogica,Glow+ Concentrate Face Serum,normal
Aqualogica,Glow+ Concentrate Face Serum,dry
Aqualogica,Glow+ Concentrate Face Serum,combination
Aqualogica,Glow+ Concentrate Face Serum,oily
Aqualogica,Glow+ Concentrate Face Serum,sensitive
Aqualogica,Radiance+ Concentrate Face Serum,normal
Aqualogica,Radiance+ Concentrate Face Serum,dry
Aqualogica,Radiance+ Concentrate Face Serum,oily
Aqualogica,Hydrate+ Concentrate Serum,normal
Aqualogica,Hydrate+ Concentrate Serum,dry
Aqualogica,Hydrate+ Concentrate Serum,oily
Aqualogica,Hydrate+ Concentrate Serum,combination
Foxtale,Vitamin C Serum,normal
Foxtale,Vitamin C Serum,dry
Foxtale,Anti aging retinol serum,aging
Foxtale,Niacinamide serum,oily
Foxtale,Hyderating Serum with Hyaluronic acid,dry
Foxtale,AHA BHA Exfoliating Serum,acne-prone
Cosrx,COSRX Advanced Snail 96 Mucin Power Essence,normal
Cosrx,COSRX Advanced Snail 96 Mucin Power Essence,dry
Cosrx,COSRX Advanced Snail 96 Mucin Power Essence,sensitive
Cosrx,COSRX Triple C Lightning Liquid,dry
Cosrx,COSRX BHA Blackhead Power Liquid,oily
Cosrx,COSRX BHA Blackhead Power Liquid,acne-prone
dot & key,Dot & Key Hyaluronic Acid Water Gel,normal
dot & key,Dot & Key Hyaluronic Acid Water Gel,dry
dot & key,Dot & Key Glow Revealing Vitamin C Serum Concentrate,dry
dot & key,Dot & Key Collagen Restorative Time Reverse Retinol Serum Concentrate,aging
dot & key,Dot & Key Night Reset Retinol + Ceramide Sleep Treatment Serum,aging
dot & key,Dot & Key Spot-Corrector Illuminating Anti-Pigmentation Serum,normal
dot & key,Dot & Key Vitamin C Glow Potion Serum,dry
Chemist at play,Hyperpigmentation Control Face Serum,normal
Chemist at play,Hyperpigmentation Control Face Serum,oily
Chemist at play,Chemist At Play Hydrating Face Serum,normal
Chemist at play,Chemist at Play 20% Vitamin C Face Serum,normal
Chemist at play,Chemist at Play 20% Vitamin C Face Serum,dry
Pixi,Pixi Glow Tonic Serum,normal
Pixi,Pixi Vitamin C Serum,normal
Pixi,Pixi Hydrating Milky Serum,dry
Pixi,Pixi Retinol Tonic,aging
Pixi,Pixi Rose Caviar Essence,sensitive
Pixi,Pixi Collagen & Retinol Serum,aging
Pixi,Pixi Overnight Glow Serum,normal
Pixi,Pixi Overnight Glow Serum,dry
Pixi,Pixi Clarity Concentrate,oily
Pixi,Pixi Clarity Concentrate,acne-prone
Bioderma,Bioderma Hydrabio Serum,normal
Bioderma,Bioderma Hydrabio Serum,dry
Bioderma,Bioderma Sebium Pore Refiner Serum,oily
Bioderma,Bioderma Sebium Pore Refiner Serum,acne-prone
Bioderma,Bioderma Pigmentbio C-Concentrate,normal
Bioderma,Bioderma Sebium Serum,oily
Bioderma,Bioderma Sebium Serum,acne-prone
Bioderma,Bioderma White Objective Serum,normal
Faceshop,The Face Shop Rice Ceramide Moisture Serum,normal
Faceshop,The Face Shop Rice Ceramide Moisture Serum,dry
Faceshop,The Face Shop White Seed Brightening Serum,dry
Faceshop,The Face Shop Chia Seed Hydrating Serum,dry
Faceshop,The Face Shop Chia Seed Hydrating Serum,combination
Faceshop,The Face Shop Yehwadam Revitalizing Serum,aging
Faceshop,The Face Shop Dr. Belmeur Clarifying Spot Serum,oily
Faceshop,The Face Shop Dr. Belmeur Clarifying Spot Serum,acne-prone
Faceshop,The Face Shop The Therapy First Serum,normal
Faceshop,The Face Shop The Therapy First Serum,aging
Faceshop,The Face Shop Yehwadam Snow Lotus Brightening Pearl Capsule Serum,dry
D'you,D'you hustle serum,normal
D'you,D'you hustle serum,sensitive
D'you,D'you hustle serum,aging
D'you,D'you hustle serum,dry
D'you,D'you hustle serum,combination
